Piece,Row,Col0,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8
R,0,6,8,7,6,4,6,7,8,6
R,1,5,8,7,8,4,8,7,8,5
R,2,5,8,7,7,6,7,7,8,5
R,3,8,9,9,10,9,10,9,9,8
R,4,7,8,7,9,8,9,7,8,7
R,5,7,10,9,10,8,10,9,10,7
R,6,7,9,8,9,9,9,8,9,7
R,7,7,8,7,8,6,8,7,8,7
R,8,9,8,7,9,3,9,7,8,9
R,9,6,12,8,8,0,8,8,12,6
N,0,-1,-1,-2,-2,-4,-2,-2,-1,-1
N,1,-1,1,2,0,-2,0,2,1,-1
N,2,0,1,2,1,1,1,2,1,0
N,3,2,3,4,3,3,3,4,3,2
N,4,0,1,1,4,3,4,1,1,0
N,5,-1,4,4,5,3,5,4,4,-1
N,6,0,1,2,2,4,2,2,1,0
N,7,6,1,8,2,2,2,8,1,6
N,8,2,-1,2,3,3,3,2,-1,2
N,9,-3,3,1,1,-3,1,1,3,-3
C,0,10,8,5,0,-4,0,5,8,10
C,1,4,7,4,4,-1,4,4,7,4
C,2,1,7,6,2,4,2,6,7,1
C,3,11,12,13,8,13,8,13,12,11
C,4,6,7,3,6,12,6,3,7,6
C,5,6,11,9,6,11,6,9,11,6
C,6,2,8,6,6,8,6,6,8,2
C,7,15,10,16,17,22,17,16,10,15
C,8,8,8,12,9,8,9,12,8,8
C,9,1,3,8,8,1,8,8,3,1
P,0,9,10,11,11,9,11,11,10,9
P,1,11,13,14,15,12,15,14,13,11
P,2,12,13,15,14,14,14,15,13,12
P,3,15,15,16,16,16,16,16,15,15
P,4,16,15,17,16,17,16,17,15,16
P,5,19,0,20,0,18,0,20,0,19
P,6,0,0,7,0,6,0,7,0,0
P,7,0,0,0,0,0,0,0,0,0
P,8,0,0,0,0,0,0,0,0,0
P,9,0,0,0,0,0,0,0,0,0
A,0,0,0,0,0,0,0,0,0,0
A,1,0,0,0,0,0,0,0,0,0
A,2,0,0,0,0,0,0,0,0,0
A,3,0,0,0,0,0,0,0,0,0
A,4,0,0,0,0,0,0,0,0,0
A,5,0,0,0,0,0,0,0,0,0
A,6,0,0,0,0,0,0,0,0,0
A,7,0,0,0,3,0,3,0,0,0
A,8,0,0,0,0,15,0,0,0,0
A,9,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0
B,1,0,0,0,0,0,0,0,0,0
B,2,0,0,0,0,0,0,0,0,0
B,3,0,0,0,0,0,0,0,0,0
B,4,0,0,0,0,0,0,0,0,0
B,5,0,0,1,0,0,0,1,0,0
B,6,0,0,0,0,0,0,0,0,0
B,7,0,0,0,0,15,0,0,0,0
B,8,0,0,0,0,0,0,0,0,0
B,9,0,0,0,0,0,0,0,0,0
K,0,0,0,0,0,0,0,0,0,0
K,1,0,0,0,0,0,0,0,0,0
K,2,0,0,0,0,0,0,0,0,0
K,3,0,0,0,0,0,0,0,0,0
K,4,0,0,0,0,0,0,0,0,0
K,5,0,0,0,0,0,0,0,0,0
K,6,0,0,0,0,0,0,0,0,0
K,7,0,0,0,0,1,0,0,0,0
K,8,0,0,0,6,7,6,0,0,0
K,9,0,0,0,9,10,9,0,0,0
