Piece,Row,Col0,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8
R,0,7,10,8,8,5,8,8,10,7
R,1,6,9,8,9,6,9,8,9,6
R,2,6,9,8,8,8,8,8,9,6
R,3,9,11,10,11,10,11,10,11,9
R,4,8,9,9,10,9,10,9,9,8
R,5,7,11,10,10,9,10,10,11,7
R,6,7,10,9,10,9,10,9,10,7
R,7,7,8,7,8,6,8,7,8,7
R,8,10,9,7,10,4,10,7,9,10
R,9,6,12,8,8,0,8,8,12,6
N,0,-1,0,-1,-1,-3,-1,-1,0,-1
N,1,0,2,3,1,0,1,3,2,0
N,2,2,2,4,3,4,3,4,2,2
N,3,3,4,5,4,5,4,5,4,3
N,4,1,3,2,5,5,5,2,3,1
N,5,0,5,4,6,4,6,4,5,0
N,6,1,2,4,3,6,3,4,2,1
N,7,5,2,8,3,2,3,8,2,5
N,8,2,0,2,3,4,3,2,0,2
N,9,-3,4,1,1,-4,1,1,4,-3
C,0,12,12,10,6,-4,6,10,12,12
C,1,8,10,8,8,5,8,8,10,8
C,2,6,11,11,8,11,8,11,11,6
C,3,16,16,15,13,18,13,15,16,16
C,4,10,11,9,11,15,11,9,11,10
C,5,10,14,12,11,15,11,12,14,10
C,6,6,11,10,10,12,10,10,11,6
C,7,17,13,18,19,22,19,18,13,17
C,8,12,13,14,13,12,13,14,13,12
C,9,4,7,9,9,3,9,9,7,4
P,0,15,15,16,16,15,16,16,15,15
P,1,15,17,18,18,17,18,18,17,15
P,2,16,17,18,18,18,18,18,17,16
P,3,18,18,19,18,19,18,19,18,18
P,4,19,18,20,18,19,18,20,18,19
P,5,19,0,20,0,20,0,20,0,19
P,6,0,0,0,0,0,0,0,0,0
P,7,0,0,0,0,0,0,0,0,0
P,8,0,0,0,0,0,0,0,0,0
P,9,0,0,0,0,0,0,0,0,0
A,0,0,0,0,0,0,0,0,0,0
A,1,0,0,0,0,0,0,0,0,0
A,2,0,0,0,0,0,0,0,0,0
A,3,0,0,0,0,0,0,0,0,0
A,4,0,0,0,0,0,0,0,0,0
A,5,0,0,0,0,0,0,0,0,0
A,6,0,0,0,0,0,0,0,0,0
A,7,0,0,0,2,0,2,0,0,0
A,8,0,0,0,0,15,0,0,0,0
A,9,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0
B,1,0,0,0,0,0,0,0,0,0
B,2,0,0,0,0,0,0,0,0,0
B,3,0,0,0,0,0,0,0,0,0
B,4,0,0,0,0,0,0,0,0,0
B,5,0,0,2,0,0,0,2,0,0
B,6,0,0,0,0,0,0,0,0,0
B,7,0,0,0,0,15,0,0,0,0
B,8,0,0,0,0,0,0,0,0,0
B,9,0,0,0,0,0,0,0,0,0
K,0,0,0,0,0,0,0,0,0,0
K,1,0,0,0,0,0,0,0,0,0
K,2,0,0,0,0,0,0,0,0,0
K,3,0,0,0,0,0,0,0,0,0
K,4,0,0,0,0,0,0,0,0,0
K,5,0,0,0,0,0,0,0,0,0
K,6,0,0,0,0,0,0,0,0,0
K,7,0,0,0,0,2,0,0,0,0
K,8,0,0,0,7,9,7,0,0,0
K,9,0,0,0,9,10,9,0,0,0
